product_category,total_orders,merchandise_and_freight_value,revenue,average_order_value
health_beauty,8646,1411946.07,1412038.44,163.32
watches_gifts,5495,1264333.12,1264428.73,230.11
bed_bath_table,9272,1225209.26,1225747.63,132.2
sports_leisure,7530,1118256.91,1118357.52,148.52
computers_accessories,6530,1032723.77,1032840.48,158.17
furniture_decor,6307,880329.92,880548.08,139.61
housewares,5743,758392.25,758480.71,132.07
cool_stuff,3559,691680.89,691810.26,194.38
auto,3810,669454.75,669470.86,175.71
garden_tools,3448,567145.68,567209.44,164.5
toys,3804,547061.06,547166.81,143.84
baby,2809,466727.65,466773.98,166.17
perfumery,3086,443171.63,443300.54,143.65
telephony,4093,379202.62,379357.76,92.68
office_furniture,1254,335211.36,335238.22,267.34
stationery,2264,269575.05,269641.26,119.1
pet_shop,1688,250614.2,250739.52,148.54
computers,177,228349.76,228349.74,1290.11
musical_instruments,611,202187.12,202196.83,330.93
electronics,2517,200723.09,200811.31,79.78
small_appliances,609,198108.47,198151.13,325.37
unknown,1392,197695.69,197727.88,142.05
fashion_bags_accessories,1820,179888.29,179879.58,98.83
luggage_accessories,1019,168778.12,168814.18,165.67
consoles_games,1018,167097.73,167138.37,164.18
construction_tools_construction,736,162382.01,162570.24,220.88
home_appliances_2,227,118208.52,118208.52,520.74
home_construction,483,95022.37,95025.02,196.74
home_appliances,747,93301.78,93313.46,124.92
furniture_living_room,414,85045.07,85079.9,205.51
agro_industry_and_commerce,177,76203.3,76208.42,430.56
home_confort,392,66438.22,66474.06,169.58
air_conditioning,246,59854.55,59881.53,243.42
fixed_telephony,212,59816.54,59823.59,282.19
kitchen_dining_laundry_garden_furniture,241,57072.97,57072.97,236.82
audio,348,56255.32,56255.32,161.65
books_general_interest,496,54182.54,54232.75,109.34
small_appliances_home_oven_and_coffee,72,49245.9,49268.75,684.29
construction_tools_lights,242,47447.14,47492.55,196.25
industry_commerce_and_business,232,46079.34,46079.35,198.62
construction_tools_safety,159,42504.02,42504.02,267.32
food,441,35794.68,35812.09,81.21
market_place,274,33114.38,33118.34,120.87
costruction_tools_garden,190,30283.94,30283.94,159.39
fashion_shoes,235,27814.83,27814.83,118.36
signaling_and_security,138,27792.59,27792.58,201.4
art,195,27485.53,27485.53,140.95
drinks,287,26971.11,27003.62,94.09
furniture_bedroom,90,23379.22,23379.22,259.77
books_technical,256,22901.07,22903.32,89.47
food_drink,221,19337.77,19337.76,87.5
costruction_tools_tools,97,17934.17,17934.17,184.89
fashion_male_clothing,106,12514.95,12514.94,118.07
christmas_supplies,125,11928.75,11928.73,95.43
fashion_underwear_beach,117,11160.02,11160.02,95.38
tablets_printing_image,79,8754.61,8764.92,110.95
cine_photo,63,7902.18,7880.37,125.09
music,38,6724.86,6724.86,176.97
furniture_mattress_and_upholstery,37,5904.75,5904.75,159.59
dvds_blu_ray,56,5769.84,5771.07,103.05
party_supplies,38,5285.38,5285.38,139.09
books_imported,50,5150.94,5150.94,103.02
portateis_cozinha_e_preparadores_de_alimentos,13,4228.05,4228.05,325.23
fashio_female_clothing,36,3218.44,3218.44,89.4
fashion_sport,26,2657.55,2657.55,102.21
la_cuisine,13,2388.54,2388.54,183.73
arts_and_craftmanship,23,2184.14,2184.14,94.96
diapers_and_hygiene,25,2046.19,2046.19,81.85
flowers,29,1598.91,1598.9,55.13
pc_gamer,7,1430.1,1430.1,204.3
home_comfort_2,24,1170.58,1170.58,48.77
cds_dvds_musicals,12,954.99,954.99,79.58
fashion_childrens_clothes,7,598.67,598.67,85.52
security_and_services,2,324.51,324.51,162.26
