customer_state,total_orders,total_customers,revenue
SP,40500,39155,5770266.19
RJ,12350,11917,2055690.45
MG,11354,11001,1819277.61
RS,5345,5168,861802.4
PR,4923,4769,781919.55
SC,3546,3449,595208.4
BA,3256,3158,591270.6
DF,2080,2019,346146.17
GO,1957,1895,334294.22
ES,1995,1928,317682.65
PE,1593,1551,309074.59
CE,1279,1258,266463.97
PA,946,922,212027.55
MT,886,856,181441.72
MA,717,700,147807.29
PB,517,504,137834.65
MS,701,681,134421.54
PI,476,464,105272.17
RN,474,464,100728.3
AL,397,387,94195.79
SE,335,329,70289.13
TO,274,267,60007.37
RO,243,231,56975.7
AM,145,140,27596.18
AC,80,76,19586.25
AP,67,66,16141.81
RR,41,40,9039.52
